333
-113 -74 6 1 Pau 1 -119 -73
73 -8 8 1 Brno 1 65 -7
59 -32 8 1 Graz 1 51 -31
-28 -33 8 1 Bern 1 -36 -32
-4 -35 8 1 Chur 1 -12 -34
-30 -69 8 1 Nice 1 -38 -68
-24 18 8 1 Hamm 1 -24 19
-19 -39 8 1 Biel 1 -27 -38
-37 16 10 1 Moers 1 -47 16
140 -117 10 1 Volos 1 130 -116
-103 -29 10 1 Tours 1 -113 -28
-11 -62 10 1 Genua 1 -21 -61
-19 0 10 1 Mainz 1 -29 1
21 16 10 1 Halle 1 11 17
-36 13 10 1 Neuss 1 -36 14
-28 15 10 1 Hagen 1 -28 15
37 -2 10 1 Plzen 1 27 -1
-4 63 10 1 Vejle 1 -14 64
49 -21 10 1 Steyr 1 39 -20
48 -155 12 1 Sliema 1 36 -154
-111 16 12 1 London 1 -123 17
-29 15 12 1 Witten 1 -29 16
196 -50 12 1 Galatz 1 184 -49
95 -49 12 1 Osijek 1 83 -48
124 -14 12 1 Kosice 1 112 -13
46 -101 12 1 Neapel 1 34 -100
147 -98 12 1 Serres 1 135 -97
-50 114 12 1 Bergen 1 -62 115
188 142 12 1 Kuopio 1 176 143
55 102 14 1 Oerebro 1 41 103
148 127 14 1 Tampere 1 134 128
160 -87 14 1 Plovdiv 1 146 -86
-16 60 14 1 Esbjerg 1 -30 61
-198 -108 14 1 Coimbra 1 -212 -107
98 -88 14 1 Shkoder 1 84 -87
-138 16 14 1 Bristol 1 -152 17
-16 -29 14 1 Zürich 1 -16 -29
119 -20 14 1 Miskolc 1 105 -19
-174 51 14 1 Belfast 1 -188 52
147 -133 14 1 Piräus 1 133 -132
-34 16 14 1 Bottrop 1 -48 17
-145 16 14 1 Cardiff 1 -145 16
0 39 14 1 Hamburg 1 -14 40
42 -37 14 1 Villach 1 28 -36
14 -61 14 1 Bologna 1 0 -60
-202 -126 14 1 Setubal 1 -216 -125
-8 -50 14 1 Mailand 1 -22 -49
66 -25 14 1 Ternitz 1 52 -24
-171 -139 14 1 Sevilla 1 -185 -138
2 107 14 1 Drammen 1 -12 108
-3 26 16 1 Hannover 1 -19 27
17 10 8 2 Jena 1 9 12
1 48 8 2 Kiel 1 -7 50
192 -31 8 2 Iasi 1 184 -29
15 40 16 1 Schwerin 1 -1 41
127 126 8 2 Pori 1 119 128
-31 -35 16 1 Fribourg 1 -47 -34
175 -61 16 1 Bukarest 1 159 -60
161 112 16 1 Helsinki 1 145 113
-26 21 16 1 Münster 1 -42 22
-204 -124 16 1 Lissabon 1 -220 -124
-201 21 8 2 Cork 1 -209 23
-2 -28 16 1 Dornbirn 1 -18 -28
48 -155 16 1 Valletta 1 48 -154
47 -18 8 2 Linz 1 39 -16
-66 5 8 2 Mons 1 -74 7
-49 7 16 1 Luettich 1 -49 7
-74 9 16 1 Kortrijk 1 -90 10
-69 11 8 2 Gent 1 -77 13
44 -20 8 2 Wels 1 36 -18
-23 -22 16 1 Freiburg 1 -39 -21
17 -20 16 1 München 1 17 -19
240 -168 16 1 Limassol 1 224 -167
-44 -5 8 2 Esch 1 -52 -5
75 -98 8 2 Bari 1 67 -96
163 164 8 2 Oulu 1 155 166
121 25 16 1 Warschau 1 105 26
32 9 16 1 Chemnitz 1 16 10
-57 -47 8 2 Lyon 1 -65 -45
100 -27 16 1 Budapest 1 84 -26
-31 14 18 1 Wuppertal 1 -49 15
-34 -33 18 1 Neuchatel 1 -52 -33
-43 -4 18 1 Luxemburg 1 -61 -3
-19 35 18 1 Oldenburg 1 -37 36
8 27 18 1 Wolfsburg 1 -10 28
-144 66 18 1 Edinburgh 1 -162 67
-56 26 18 1 Amsterdam 1 -56 27
-38 35 18 1 Groningen 1 -56 36
-16 22 18 1 Bielefeld 1 -34 23
-19 0 18 1 Wiesbaden 1 -37 0
-15 -1 18 1 Darmstadt 1 -33 -1
27 -89 6 3 Rom 1 21 -86
4 147 18 1 Trondheim 1 -14 148
88 103 18 1 Stockholm 1 70 104
-8 -9 18 1 Heilbronn 1 -26 -8
-13 19 18 1 Paderborn 1 -13 20
-85 -95 18 1 Barcelona 1 -103 -94
0 -17 6 3 Ulm 1 -6 -14
28 62 20 1 Kopenhagen 1 8 63
-134 38 20 1 Manchester 1 -154 39
-25 -15 20 1 Strasbourg 1 -45 -15
0 17 20 1 Göttingen 1 -20 18
159 112 10 2 Espoo 1 159 112
132 115 10 2 Turku 1 122 117
-200 -98 10 2 Porto 1 -210 -96
-34 16 20 1 Oberhausen 1 -34 17
-14 -6 20 1 Heidelberg 1 -14 -5
48 -37 20 1 Klagenfurt 1 48 -36
15 -38 10 2 Bozen 1 5 -36
58 -28 20 1 Kapfenberg 1 58 -28
72 -23 20 1 Eisenstadt 1 72 -23
49 0 10 2 Praha 1 39 2
145 -81 10 2 Sofia 1 135 -79
