1 0.006005 0.001365 0.001487
2 0.008452 0.001577 0.007021
3 0.011719 0.002442 0.009803
4 0.016007 0.008389 0.014281
5 0.020199 0.013632 0.017183
6 0.025002 0.016818 0.020878
7 0.029948 0.021589 0.026023
8 0.034187 0.02525 0.029316
9 0.040091 0.029746 0.033463
10 0.045359 0.032871 0.037552
11 0.05068 0.036762 0.041955
12 0.054581 0.040634 0.046373
13 0.059329 0.044383 0.051077
14 0.068021 0.049102 0.056303
15 0.075764 0.054659 0.061369
16 0.085318 0.057422 0.066895
17 0.111006 0.066244 0.074851
18 0.129303 0.086658 0.082489
19 0.143755 0.093706 0.089791
20 0.158206 0.099661 0.096821
21 0.211727 0.121263 0.112498
22 0.347104 0.153696 0.133966
23 0.466759 0.178536 0.149949
24 0.55625 0.201383 0.166762
25 0.636682 0.229485 0.180775
26 0.695969 0.257145 0.192832
27 0.769173 0.291162 0.217785
28 0.854069 0.340073 0.250607
