76
-235 46 15 34 Aachen
54 -98 15 20 Augsburg
53 -7 20 30 Bamberg
94 -4 40 40 Bayreuth
197 151 51 20 Berlin
-89 121 59 21 Bielefeld
-167 89 17 10 Bochum
-174 44 15 10 Bonn
31 136 16 10 Braunschweig
-72 184 35 37 Bremen
175 50 20 10 Chemnitz
20 108 15 20 Clausthal-Zellerfeld
260 105 15 33 Cottbus
-81 -8 15 19 Darmstadt
-152 90 15 58 Dortmund
224 63 20 15 Dresden
-194 73 59 32 Düsseldorf
-195 86 43 17 Duisburg
71 -67 30 30 Eichstätt
61 58 30 38 Erfurt
-180 87 38 25 Essen
-34 287 15 10 Flensburg
-80 6 55 44 Frankfurt/Main
273 140 22 40 Frankfurt/Oder
-129 -121 15 48 Freiburg
124 52 58 56 Gera
-80 35 31 19 Giessen
-4 91 39 48 Göttingen
-153 81 54 49 Hagen
118 89 16 10 Halle
-1 212 31 57 Hamburg
-16 142 25 15 Hannover
-78 -36 15 43 Heidelberg
-47 -52 15 34 Heilbronn
-4 129 42 15 Hildesheim
54 41 59 49 Ilmenau
95 55 21 49 Jena
-219 55 34 23 Jülich
-134 -34 20 40 Kaiserslautern
-96 -60 20 20 Karlsruhe
-30 79 15 10 Kassel
8 259 42 34 Kiel
-145 21 48 43 Koblenz
-182 53 15 10 Köln
-50 -141 33 35 Konstanz
-113 -49 15 50 Landau/Pfalz
142 80 26 16 Leipzig
-49 -67 31 55 Ludwigsburg
-94 -32 40 50 Ludwigshafen
41 232 15 10 Lübeck
24 194 50 57 Lüneburg
98 127 15 35 Magdeburg
-104 -1 15 48 Mainz
63 -44 15 12 Nürnberg
-107 188 15 21 Oldenburg
-118 136 44 44 Osnabrück
-75 103 23 13 Paderborn
208 -86 15 30 Passau
-78 -67 15 36 Pforzheim
126 -59 15 10 Regensburg
-48 -91 52 32 Reutlingen
128 245 15 23 Rostock
-181 -47 32 56 Saarbrücken
-119 52 38 34 Siegen
-50 -74 44 39 Stuttgart
-202 -15 38 26 Trier
-57 -89 24 15 Tübingen
-1 -97 35 58 Ulm
80 58 15 53 Weimar
-106 2 45 25 Wiesbaden
-113 211 20 10 Wilhelmshaven
32 129 18 48 Wolfenbüttel
-99 -23 45 53 Worms
-4 -13 15 40 Würzburg
-172 75 35 50 Wuppertal
132 43 47 10 Zwickau
